Number,Creation date,Start date,Start station,End date,End station,Total duration,Subscription type
86774,6/8/2015,6/8/2015 10:12,6th Ave S & S King St,6/8/2015 12:21,Seattle Aquarium / Alaskan Way S & Elliott Bay Trail,2h 8m 57s,24-Hour Pass
86775,6/8/2015,6/8/2015 10:13,6th Ave S & S King St,6/8/2015 12:25,Seattle Aquarium / Alaskan Way S & Elliott Bay Trail,2h 11m 43s,24-Hour Pass
86776,6/8/2015,6/8/2015 10:15,Summit Ave & E Denny Way,6/8/2015 10:20,7th Ave & Union St,5m 6s,3-Day Pass
86777,6/8/2015,6/8/2015 10:17,6th Ave S & S King St,6/8/2015 12:23,Seattle Aquarium / Alaskan Way S & Elliott Bay Trail,2h 5m 41s,24-Hour Pass
86778,6/8/2015,6/8/2015 10:17,6th Ave S & S King St,6/8/2015 12:21,Seattle Aquarium / Alaskan Way S & Elliott Bay Trail,2h 4m 21s,24-Hour Pass
86782,6/8/2015,6/8/2015 10:22,Pine St & 9th Ave,6/8/2015 11:08,Burke-Gilman Trail / NE Blakeley St & 24th Ave NE,45m 20s,3-Day Pass
86784,6/8/2015,6/8/2015 10:24,Dexter Ave & Denny Way,6/8/2015 10:32,9th Ave N & Mercer St,8m 15s,"The ""Pedal"" Membership"
86786,6/8/2015,6/8/2015 10:27,12th Ave & E Denny Way,6/8/2015 10:38,6th Ave S & S King St,10m 9s,"The ""Pedal"" Membership"
86787,6/8/2015,6/8/2015 10:28,Bellevue Ave & E Pine St,6/8/2015 10:31,Pine St & 9th Ave,2m 45s,"The ""Pedal"" Membership"
86788,6/8/2015,6/8/2015 10:30,12th Ave & E Denny Way,6/8/2015 10:44,Cal Anderson Park / 11th Ave & Pine St,13m 36s,24-Hour Pass
86789,6/8/2015,6/8/2015 10:30,12th Ave & E Denny Way,6/8/2015 10:44,Cal Anderson Park / 11th Ave & Pine St,13m 23s,24-Hour Pass
86790,6/8/2015,6/8/2015 10:34,Westlake Ave & 6th Ave,6/8/2015 10:40,2nd Ave & Spring St,6m 1s,"The ""Pedal"" Membership"
86791,6/8/2015,6/8/2015 10:36,Eastlake Ave E & E Allison St,6/8/2015 10:46,Lake Union Park / Valley St & Boren Ave N,10m 1s,"The ""Pedal"" Membership"
86793,6/8/2015,6/8/2015 10:38,Dexter Ave & Denny Way,6/8/2015 10:44,2nd Ave & Pike St,6m 28s,"The ""Pedal"" Membership"
86794,6/8/2015,6/8/2015 10:41,Burke-Gilman Trail / NE Blakeley St & 24th Ave NE,6/8/2015 11:51,Fred Hutchinson Cancer Research Center / Fairview Ave N & Ward St,1h 9m 55s,24-Hour Pass
86795,6/8/2015,6/8/2015 10:43,Burke-Gilman Trail / NE Blakeley St & 24th Ave NE,6/8/2015 11:51,Fred Hutchinson Cancer Research Center / Fairview Ave N & Ward St,1h 8m 28s,24-Hour Pass
86796,6/8/2015,6/8/2015 10:43,E Pine St & 16th Ave,6/8/2015 11:07,E Pine St & 16th Ave,24m 25s,"The ""Gear"" Membership"
86797,6/8/2015,6/8/2015 10:44,E Pine St & 16th Ave,6/8/2015 10:48,Pine St & 9th Ave,4m 32s,"The ""Pedal"" Membership"
86798,6/8/2015,6/8/2015 10:44,Summit Ave E & E Republican St,6/8/2015 10:50,Pine St & 9th Ave,5m 58s,"The ""Pedal"" Membership"
86799,6/8/2015,6/8/2015 10:55,15th Ave NE & NE 40th St,6/8/2015 11:03,Burke-Gilman Trail / NE Blakeley St & 24th Ave NE,8m 0s,24-Hour Pass
86800,6/8/2015,6/8/2015 11:02,Bellevue Ave & E Pine St,6/8/2015 11:08,Summit Ave E & E Republican St,6m 14s,"The ""Pedal"" Membership"
86801,6/8/2015,6/8/2015 11:03,Burke-Gilman Trail / NE Blakeley St & 24th Ave NE,6/8/2015 11:22,Eastlake Ave E & E Allison St,19m 33s,"The ""Pedal"" Membership"
86802,6/8/2015,6/8/2015 11:03,Bellevue Ave & E Pine St,6/8/2015 11:25,2nd Ave & Spring St,21m 53s,3-Day Pass
86803,6/8/2015,6/8/2015 11:04,Bellevue Ave & E Pine St,6/8/2015 11:25,2nd Ave & Spring St,20m 52s,3-Day Pass
86804,6/8/2015,6/8/2015 11:05,Bellevue Ave & E Pine St,6/8/2015 11:25,2nd Ave & Spring St,20m 18s,3-Day Pass
86805,6/8/2015,6/8/2015 11:07,7th Ave & Union St,6/8/2015 11:16,1st Ave & Marion St,8m 36s,3-Day Pass
86806,6/8/2015,6/8/2015 11:08,Pier 69 / Alaskan Way & Clay St,6/8/2015 11:18,Occidental Park / Occidental Ave S & S Washington St,9m 15s,"The ""Pedal"" Membership"
86807,6/8/2015,6/8/2015 11:10,6th Ave & Blanchard St,6/8/2015 11:15,9th Ave N & Mercer St,4m 47s,"The ""Pedal"" Membership"
86808,6/8/2015,6/8/2015 11:12,15th Ave E & E Thomas St,6/8/2015 11:39,Cal Anderson Park / 11th Ave & Pine St,26m 29s,24-Hour Pass
86809,6/8/2015,6/8/2015 11:14,3rd Ave & Broad St,6/8/2015 11:17,Pier 69 / Alaskan Way & Clay St,2m 33s,"The ""Pedal"" Membership"
86810,6/8/2015,6/8/2015 11:15,Pine St & 9th Ave,6/8/2015 11:19,2nd Ave & Pike St,4m 40s,"The ""Pedal"" Membership"
86811,6/8/2015,6/8/2015 11:16,PATH / 9th Ave & Westlake Ave,6/8/2015 12:57,UW Magnuson Health Sciences Center Rotunda / Columbia Rd & San Juan Rd,1h 41m 40s,24-Hour Pass
86812,6/8/2015,6/8/2015 11:16,PATH / 9th Ave & Westlake Ave,6/8/2015 12:58,UW Magnuson Health Sciences Center Rotunda / Columbia Rd & San Juan Rd,1h 42m 8s,24-Hour Pass
86813,6/8/2015,6/8/2015 11:16,Eastlake Ave E & E Allison St,6/8/2015 11:24,15th Ave NE & NE 40th St,7m 48s,"The ""Pedal"" Membership"
86814,6/8/2015,6/8/2015 11:17,15th Ave E & E Thomas St,6/8/2015 11:29,Frye Art Museum / Terry Ave & Columbia St,11m 35s,"The ""Pedal"" Membership"
86815,6/8/2015,6/8/2015 11:18,Westlake Ave & 6th Ave,6/8/2015 11:21,PATH / 9th Ave & Westlake Ave,3m 21s,24-Hour Pass
86816,6/8/2015,6/8/2015 11:18,Westlake Ave & 6th Ave,6/8/2015 11:21,PATH / 9th Ave & Westlake Ave,3m 24s,24-Hour Pass
86817,6/8/2015,6/8/2015 11:18,Pier 69 / Alaskan Way & Clay St,6/8/2015 11:42,3rd Ave & Broad St,24m 28s,24-Hour Pass
86818,6/8/2015,6/8/2015 11:18,Pier 69 / Alaskan Way & Clay St,6/8/2015 11:42,3rd Ave & Broad St,24m 36s,24-Hour Pass
86819,6/8/2015,6/8/2015 11:23,Republican St & Westlake Ave N,6/8/2015 11:26,PATH / 9th Ave & Westlake Ave,2m 56s,"The ""Pedal"" Membership"
86820,6/8/2015,6/8/2015 11:24,Eastlake Ave E & E Allison St,6/8/2015 11:43,2nd Ave & Blanchard St,18m 31s,"The ""Pedal"" Membership"
86821,6/8/2015,6/8/2015 11:27,2nd Ave & Pike St,6/8/2015 11:37,Occidental Park / Occidental Ave S & S Washington St,10m 14s,3-Day Pass
86822,6/8/2015,6/8/2015 11:28,Dexter Ave & Denny Way,6/8/2015 11:47,REI / Yale Ave N & John St,18m 52s,24-Hour Pass
86825,6/8/2015,6/8/2015 11:30,15th Ave E & E Thomas St,6/8/2015 11:36,Summit Ave E & E Republican St,6m 0s,"The ""Pedal"" Membership"
86826,6/8/2015,6/8/2015 11:30,Dexter Ave N & Aloha St,6/8/2015 11:47,2nd Ave & Pike St,16m 38s,24-Hour Pass
86827,6/8/2015,6/8/2015 11:31,Dexter Ave N & Aloha St,6/8/2015 11:40,Key Arena / 1st Ave N & Harrison St,8m 57s,"The ""Gear"" Membership"
86829,6/8/2015,6/8/2015 11:35,PATH / 9th Ave & Westlake Ave,6/8/2015 12:22,Lake Union Park / Valley St & Boren Ave N,47m 10s,24-Hour Pass
86830,6/8/2015,6/8/2015 11:35,PATH / 9th Ave & Westlake Ave,6/8/2015 12:21,Lake Union Park / Valley St & Boren Ave N,46m 37s,24-Hour Pass
86831,6/8/2015,6/8/2015 11:34,Dexter Ave & Denny Way,6/8/2015 11:46,REI / Yale Ave N & John St,12m 2s,24-Hour Pass
86832,6/8/2015,6/8/2015 11:35,Frye Art Museum / Terry Ave & Columbia St,6/8/2015 11:54,City Hall / 4th Ave & James St,18m 22s,24-Hour Pass
86833,6/8/2015,6/8/2015 11:36,2nd Ave & Vine St,6/8/2015 12:14,9th Ave N & Mercer St,37m 39s,24-Hour Pass
86834,6/8/2015,6/8/2015 11:41,Summit Ave & E Denny Way,6/8/2015 11:48,7th Ave & Union St,6m 49s,"The ""Pedal"" Membership"
86835,6/8/2015,6/8/2015 11:42,Dexter Ave N & Aloha St,6/8/2015 12:00,Eastlake Ave E & E Allison St,17m 32s,"The ""Pedal"" Membership"
86836,6/8/2015,6/8/2015 11:45,Dexter Ave & Denny Way,6/8/2015 12:00,Lake Union Park / Valley St & Boren Ave N,15m 6s,"The ""Pedal"" Membership"
86837,6/8/2015,6/8/2015 11:48,2nd Ave & Blanchard St,6/8/2015 11:54,Dexter Ave N & Aloha St,6m 10s,"The ""Pedal"" Membership"
86838,6/8/2015,6/8/2015 11:52,Summit Ave & E Denny Way,6/8/2015 12:02,2nd Ave & Blanchard St,10m 15s,"The ""Pedal"" Membership"
86839,6/8/2015,6/8/2015 11:52,UW McCarty Hall / Whitman Ct,6/8/2015 11:54,UW Engineering Library / E Stevens Way NE & Jefferson Rd,2m 36s,"The ""Pedal"" Membership"
86840,6/8/2015,6/8/2015 11:57,REI / Yale Ave N & John St,6/8/2015 12:04,PATH / 9th Ave & Westlake Ave,6m 30s,"The ""Pedal"" Membership"
86841,6/8/2015,6/8/2015 11:58,2nd Ave & Pike St,6/8/2015 13:50,REI / Yale Ave N & John St,1h 51m 45s,"The ""Pedal"" Membership"
86843,6/8/2015,6/8/2015 11:59,PATH / 9th Ave & Westlake Ave,6/8/2015 12:15,City Hall / 4th Ave & James St,15m 22s,24-Hour Pass
86844,6/8/2015,6/8/2015 12:00,UW Engineering Library / E Stevens Way NE & Jefferson Rd,6/8/2015 12:05,Burke Museum / E Stevens Way NE & Memorial Way NE,5m 1s,"The ""Pedal"" Membership"
86845,6/8/2015,6/8/2015 12:02,Westlake Ave & 6th Ave,6/8/2015 12:08,REI / Yale Ave N & John St,5m 36s,"The ""Pedal"" Membership"
86846,6/8/2015,6/8/2015 12:02,Dexter Ave N & Aloha St,6/8/2015 12:04,Dexter Ave N & Aloha St,1m 6s,"The ""Pedal"" Membership"
86847,6/8/2015,6/8/2015 12:08,E Blaine St & Fairview Ave E,6/8/2015 12:17,Republican St & Westlake Ave N,8m 40s,Annual Membership
86848,6/8/2015,6/8/2015 12:09,9th Ave N & Mercer St,6/8/2015 12:13,PATH / 9th Ave & Westlake Ave,4m 38s,"The ""Pedal"" Membership"
86849,6/8/2015,6/8/2015 12:10,7th Ave & Union St,6/8/2015 12:51,Pier 69 / Alaskan Way & Clay St,41m 16s,24-Hour Pass
86850,6/8/2015,6/8/2015 12:10,7th Ave & Union St,6/8/2015 12:54,Pier 69 / Alaskan Way & Clay St,43m 59s,24-Hour Pass
86851,6/8/2015,6/8/2015 12:11,7th Ave & Union St,6/8/2015 12:51,Pier 69 / Alaskan Way & Clay St,40m 14s,24-Hour Pass
86852,6/8/2015,6/8/2015 12:12,PATH / 9th Ave & Westlake Ave,6/8/2015 12:17,9th Ave N & Mercer St,4m 50s,"The ""Pedal"" Membership"
86853,6/8/2015,6/8/2015 12:13,9th Ave N & Mercer St,6/8/2015 12:21,Key Arena / 1st Ave N & Harrison St,8m 18s,"The ""Pedal"" Membership"
86854,6/8/2015,6/8/2015 12:13,9th Ave N & Mercer St,6/8/2015 12:21,Key Arena / 1st Ave N & Harrison St,7m 59s,"The ""Pedal"" Membership"
86855,6/8/2015,6/8/2015 12:13,6th Ave & Blanchard St,6/8/2015 13:22,6th Ave & Blanchard St,1h 8m 41s,"The ""Pedal"" Membership"
86856,6/8/2015,6/8/2015 12:17,Westlake Ave & 6th Ave,6/8/2015 12:24,2nd Ave & Spring St,6m 53s,"The ""Pedal"" Membership"
86857,6/8/2015,6/8/2015 12:19,REI / Yale Ave N & John St,6/8/2015 12:27,Fred Hutchinson Cancer Research Center / Fairview Ave N & Ward St,8m 3s,24-Hour Pass
86858,6/8/2015,6/8/2015 12:19,REI / Yale Ave N & John St,6/8/2015 12:27,Fred Hutchinson Cancer Research Center / Fairview Ave N & Ward St,8m 1s,24-Hour Pass
86859,6/8/2015,6/8/2015 12:19,Summit Ave E & E Republican St,6/8/2015 14:18,Summit Ave E & E Republican St,1h 58m 24s,24-Hour Pass
86860,6/8/2015,6/8/2015 12:23,PATH / 9th Ave & Westlake Ave,6/8/2015 12:26,9th Ave N & Mercer St,3m 34s,"The ""Pedal"" Membership"
86861,6/8/2015,6/8/2015 12:26,2nd Ave & Spring St,6/8/2015 12:36,Pier 69 / Alaskan Way & Clay St,10m 20s,"The ""Pedal"" Membership"
86862,6/8/2015,6/8/2015 12:28,King Street Station Plaza / 2nd Ave Extension S & S Jackson St,6/8/2015 14:04,Pier 69 / Alaskan Way & Clay St,1h 35m 40s,24-Hour Pass
86863,6/8/2015,6/8/2015 12:29,9th Ave N & Mercer St,6/8/2015 12:51,REI / Yale Ave N & John St,21m 12s,"The ""Pedal"" Membership"
86864,6/8/2015,6/8/2015 12:31,Lake Union Park / Valley St & Boren Ave N,6/8/2015 12:49,Dexter Ave & Denny Way,18m 5s,"The ""Pedal"" Membership"
86865,6/8/2015,6/8/2015 12:32,Key Arena / 1st Ave N & Harrison St,6/8/2015 12:43,Dexter Ave N & Aloha St,10m 49s,"The ""Gear"" Membership"
86866,6/8/2015,6/8/2015 12:33,Republican St & Westlake Ave N,6/8/2015 12:46,2nd Ave & Pike St,12m 59s,24-Hour Pass
86867,6/8/2015,6/8/2015 12:39,Cal Anderson Park / 11th Ave & Pine St,6/8/2015 13:10,E Blaine St & Fairview Ave E,30m 51s,24-Hour Pass
86868,6/8/2015,6/8/2015 12:39,Cal Anderson Park / 11th Ave & Pine St,6/8/2015 13:09,E Blaine St & Fairview Ave E,29m 35s,24-Hour Pass
86869,6/8/2015,6/8/2015 12:39,Cal Anderson Park / 11th Ave & Pine St,6/8/2015 12:43,E Harrison St & Broadway Ave E,4m 2s,3-Day Pass
86870,6/8/2015,6/8/2015 12:41,Seattle University / E Columbia St & 12th Ave,6/8/2015 12:59,2nd Ave & Pike St,18m 21s,24-Hour Pass
86871,6/8/2015,6/8/2015 12:41,E Pine St & 16th Ave,6/8/2015 12:52,2nd Ave & Blanchard St,10m 58s,"The ""Pedal"" Membership"
86872,6/8/2015,6/8/2015 12:41,3rd Ave & Broad St,6/8/2015 12:49,Westlake Ave & 6th Ave,7m 40s,"The ""Pedal"" Membership"
86873,6/8/2015,6/8/2015 12:43,Burke Museum / E Stevens Way NE & Memorial Way NE,6/8/2015 12:46,UW Engineering Library / E Stevens Way NE & Jefferson Rd,3m 27s,"The ""Pedal"" Membership"
86874,6/8/2015,6/8/2015 12:44,E Pine St & 16th Ave,6/8/2015 12:53,E Harrison St & Broadway Ave E,8m 41s,"The ""Pedal"" Membership"
86875,6/8/2015,6/8/2015 12:47,7th Ave & Union St,6/8/2015 13:03,3rd Ave & Broad St,15m 46s,24-Hour Pass
86876,6/8/2015,6/8/2015 12:47,7th Ave & Union St,6/8/2015 13:03,3rd Ave & Broad St,15m 44s,24-Hour Pass
86877,6/8/2015,6/8/2015 12:48,Seattle Aquarium / Alaskan Way S & Elliott Bay Trail,6/8/2015 14:04,Pier 69 / Alaskan Way & Clay St,1h 15m 35s,24-Hour Pass
86879,6/8/2015,6/8/2015 12:51,Key Arena / 1st Ave N & Harrison St,6/8/2015 12:58,Dexter Ave N & Aloha St,7m 34s,"The ""Pedal"" Membership"
86880,6/8/2015,6/8/2015 12:51,Key Arena / 1st Ave N & Harrison St,6/8/2015 12:58,Dexter Ave N & Aloha St,7m 10s,"The ""Pedal"" Membership"
86882,6/8/2015,6/8/2015 13:10,Republican St & Westlake Ave N,6/8/2015 13:17,Dexter Ave N & Aloha St,7m 6s,"The ""Pedal"" Membership"
86883,6/8/2015,6/8/2015 13:13,E Blaine St & Fairview Ave E,6/8/2015 13:22,Eastlake Ave E & E Allison St,8m 56s,24-Hour Pass
86884,6/8/2015,6/8/2015 13:14,E Blaine St & Fairview Ave E,6/8/2015 13:23,Eastlake Ave E & E Allison St,8m 58s,24-Hour Pass
86885,6/8/2015,6/8/2015 13:14,Summit Ave & E Denny Way,6/8/2015 13:40,Westlake Ave & 6th Ave,26m 38s,24-Hour Pass
86886,6/8/2015,6/8/2015 13:14,2nd Ave & Pike St,6/8/2015 13:31,Occidental Park / Occidental Ave S & S Washington St,16m 30s,24-Hour Pass
86887,6/8/2015,6/8/2015 13:14,2nd Ave & Pike St,6/8/2015 13:31,Occidental Park / Occidental Ave S & S Washington St,16m 21s,24-Hour Pass
86888,6/8/2015,6/8/2015 13:17,Frye Art Museum / Terry Ave & Columbia St,6/8/2015 13:50,7th Ave & Union St,33m 6s,24-Hour Pass
86889,6/8/2015,6/8/2015 13:17,Frye Art Museum / Terry Ave & Columbia St,6/8/2015 13:50,7th Ave & Union St,33m 4s,24-Hour Pass
86890,6/8/2015,6/8/2015 13:17,Eastlake Ave E & E Allison St,6/8/2015 13:36,Dexter Ave N & Aloha St,18m 35s,"The ""Pedal"" Membership"
86891,6/8/2015,6/8/2015 13:18,Frye Art Museum / Terry Ave & Columbia St,6/8/2015 13:48,7th Ave & Union St,30m 23s,24-Hour Pass
86892,6/8/2015,6/8/2015 13:18,Frye Art Museum / Terry Ave & Columbia St,6/8/2015 13:50,7th Ave & Union St,31m 31s,24-Hour Pass
86893,6/8/2015,6/8/2015 13:21,Cal Anderson Park / 11th Ave & Pine St,6/8/2015 13:55,Cal Anderson Park / 11th Ave & Pine St,33m 12s,24-Hour Pass
86894,6/8/2015,6/8/2015 13:21,Key Arena / 1st Ave N & Harrison St,6/8/2015 13:36,E Blaine St & Fairview Ave E,14m 58s,"The ""Pedal"" Membership"
86895,6/8/2015,6/8/2015 13:24,Eastlake Ave E & E Allison St,6/8/2015 13:34,12th Ave & NE Campus Pkwy,10m 7s,24-Hour Pass
86896,6/8/2015,6/8/2015 13:25,Eastlake Ave E & E Allison St,6/8/2015 13:34,12th Ave & NE Campus Pkwy,9m 25s,24-Hour Pass
86897,6/8/2015,6/8/2015 13:27,12th Ave & E Denny Way,6/8/2015 13:33,7th Ave & Union St,5m 41s,3-Day Pass
86898,6/8/2015,6/8/2015 13:28,Dexter Ave & Denny Way,6/8/2015 13:34,Dexter Ave N & Aloha St,5m 59s,"The ""Gear"" Membership"
86899,6/8/2015,6/8/2015 13:32,Summit Ave & E Denny Way,6/8/2015 13:43,2nd Ave & Blanchard St,10m 42s,"The ""Gear"" Membership"
86900,6/8/2015,6/8/2015 13:32,Pine St & 9th Ave,6/8/2015 13:39,2nd Ave & Pike St,6m 14s,"The ""Pedal"" Membership"
86901,6/8/2015,6/8/2015 13:38,Dexter Ave N & Aloha St,6/8/2015 13:47,2nd Ave & Blanchard St,8m 29s,"The ""Pedal"" Membership"
86902,6/8/2015,6/8/2015 13:47,Pier 69 / Alaskan Way & Clay St,6/8/2015 14:12,Pier 69 / Alaskan Way & Clay St,25m 45s,24-Hour Pass
86903,6/8/2015,6/8/2015 13:47,Pier 69 / Alaskan Way & Clay St,6/8/2015 14:14,Pier 69 / Alaskan Way & Clay St,27m 24s,24-Hour Pass
86904,6/8/2015,6/8/2015 13:47,2nd Ave & Pike St,6/8/2015 14:02,3rd Ave & Broad St,14m 36s,24-Hour Pass
86905,6/8/2015,6/8/2015 13:48,E Harrison St & Broadway Ave E,6/8/2015 13:52,Cal Anderson Park / 11th Ave & Pine St,4m 1s,3-Day Pass
86906,6/8/2015,6/8/2015 13:50,Pier 69 / Alaskan Way & Clay St,6/8/2015 14:13,Pier 69 / Alaskan Way & Clay St,22m 50s,24-Hour Pass
86907,6/8/2015,6/8/2015 13:50,Pier 69 / Alaskan Way & Clay St,6/8/2015 14:13,Pier 69 / Alaskan Way & Clay St,22m 58s,24-Hour Pass
86909,6/8/2015,6/8/2015 13:51,15th Ave E & E Thomas St,6/8/2015 13:58,PATH / 9th Ave & Westlake Ave,7m 19s,"The ""Pedal"" Membership"
86910,6/8/2015,6/8/2015 13:51,Children's Hospital / Sandpoint Way NE & 40th Ave NE,6/8/2015 14:05,UW Magnuson Health Sciences Center Rotunda / Columbia Rd & San Juan Rd,14m 23s,"The ""Pedal"" Membership"
86911,6/8/2015,6/8/2015 13:51,Bellevue Ave & E Pine St,6/8/2015 13:56,Cal Anderson Park / 11th Ave & Pine St,4m 22s,"The ""Pedal"" Membership"
86912,6/8/2015,6/8/2015 13:52,7th Ave & Union St,6/8/2015 14:03,2nd Ave & Pike St,11m 12s,24-Hour Pass
86913,6/8/2015,6/8/2015 13:52,REI / Yale Ave N & John St,6/8/2015 14:03,Bellevue Ave & E Pine St,10m 50s,"The ""Pedal"" Membership"
86915,6/8/2015,6/8/2015 13:55,7th Ave & Union St,6/8/2015 14:03,2nd Ave & Pike St,8m 37s,24-Hour Pass
86916,6/8/2015,6/8/2015 13:56,7th Ave & Union St,6/8/2015 14:03,2nd Ave & Pike St,6m 57s,24-Hour Pass
86917,6/8/2015,6/8/2015 13:56,12th Ave & E Mercer St,6/8/2015 14:02,Pine St & 9th Ave,6m 31s,Annual Membership
86918,6/8/2015,6/8/2015 14:03,9th Ave N & Mercer St,6/8/2015 14:10,REI / Yale Ave N & John St,7m 13s,"The ""Gear"" Membership"
86919,6/8/2015,6/8/2015 14:04,3rd Ave & Broad St,6/8/2015 14:11,Dexter Ave N & Aloha St,7m 43s,24-Hour Pass
86920,6/8/2015,6/8/2015 14:07,REI / Yale Ave N & John St,6/8/2015 14:09,REI / Yale Ave N & John St,2m 29s,24-Hour Pass
86921,6/8/2015,6/8/2015 14:10,E Pine St & 16th Ave,6/8/2015 14:21,2nd Ave & Pike St,10m 46s,"The ""Pedal"" Membership"
86922,6/8/2015,6/8/2015 14:11,Harvard Ave & E Pine St,6/8/2015 14:12,Bellevue Ave & E Pine St,1m 15s,"The ""Gear"" Membership"
86923,6/8/2015,6/8/2015 14:13,PATH / 9th Ave & Westlake Ave,6/8/2015 14:30,Dexter Ave & Denny Way,16m 55s,24-Hour Pass
86924,6/8/2015,6/8/2015 14:15,Dexter Ave N & Aloha St,6/8/2015 14:49,15th Ave NE & NE 40th St,34m 12s,24-Hour Pass
86925,6/8/2015,6/8/2015 14:18,Pier 69 / Alaskan Way & Clay St,6/8/2015 14:41,2nd Ave & Pike St,23m 6s,24-Hour Pass
86926,6/8/2015,6/8/2015 14:18,Pier 69 / Alaskan Way & Clay St,6/8/2015 14:41,2nd Ave & Pike St,23m 22s,24-Hour Pass
86927,6/8/2015,6/8/2015 14:18,Harvard Ave & E Pine St,6/8/2015 14:21,Pine St & 9th Ave,2m 32s,"The ""Pedal"" Membership"
86928,6/8/2015,6/8/2015 14:19,Pier 69 / Alaskan Way & Clay St,6/8/2015 14:41,2nd Ave & Pike St,22m 26s,24-Hour Pass
86929,6/8/2015,6/8/2015 14:19,Pier 69 / Alaskan Way & Clay St,6/8/2015 14:41,2nd Ave & Pike St,22m 10s,24-Hour Pass
86930,6/8/2015,6/8/2015 14:19,Republican St & Westlake Ave N,6/8/2015 14:27,E Blaine St & Fairview Ave E,8m 4s,Annual Membership
86931,6/8/2015,6/8/2015 14:29,Cal Anderson Park / 11th Ave & Pine St,6/8/2015 15:05,PATH / 9th Ave & Westlake Ave,35m 18s,"The ""Pedal"" Membership"
86932,6/8/2015,6/8/2015 14:32,Occidental Park / Occidental Ave S & S Washington St,6/8/2015 14:44,7th Ave & Union St,12m 18s,3-Day Pass
86933,6/8/2015,6/8/2015 14:32,PATH / 9th Ave & Westlake Ave,6/8/2015 14:39,Dexter Ave N & Aloha St,6m 31s,"The ""Pedal"" Membership"
86934,6/8/2015,6/8/2015 14:34,Dexter Ave & Denny Way,6/8/2015 14:40,Dexter Ave N & Aloha St,6m 1s,24-Hour Pass
86935,6/8/2015,6/8/2015 14:38,2nd Ave & Pike St,6/8/2015 14:57,Bellevue Ave & E Pine St,19m 9s,3-Day Pass
86936,6/8/2015,6/8/2015 14:38,2nd Ave & Pike St,6/8/2015 14:57,Bellevue Ave & E Pine St,18m 51s,3-Day Pass
86937,6/8/2015,6/8/2015 14:38,Cal Anderson Park / 11th Ave & Pine St,6/8/2015 16:00,12th Ave & E Denny Way,1h 21m 46s,24-Hour Pass
86938,6/8/2015,6/8/2015 14:43,2nd Ave & Pike St,6/8/2015 15:03,Republican St & Westlake Ave N,19m 42s,24-Hour Pass
86940,6/8/2015,6/8/2015 14:47,2nd Ave & Pike St,6/8/2015 15:03,Republican St & Westlake Ave N,15m 17s,24-Hour Pass
86941,6/8/2015,6/8/2015 14:48,2nd Ave & Pike St,6/8/2015 15:03,Republican St & Westlake Ave N,14m 49s,24-Hour Pass
86942,6/8/2015,6/8/2015 14:48,2nd Ave & Pike St,6/8/2015 15:03,Republican St & Westlake Ave N,14m 37s,24-Hour Pass
86943,6/8/2015,6/8/2015 14:53,15th Ave NE & NE 40th St,6/8/2015 15:32,Harvard Ave & E Pine St,38m 50s,24-Hour Pass
86944,6/8/2015,6/8/2015 14:57,Fred Hutchinson Cancer Research Center / Fairview Ave N & Ward St,6/8/2015 16:55,Fred Hutchinson Cancer Research Center / Fairview Ave N & Ward St,1h 58m 53s,24-Hour Pass
86945,6/8/2015,6/8/2015 14:57,Fred Hutchinson Cancer Research Center / Fairview Ave N & Ward St,6/8/2015 16:55,Fred Hutchinson Cancer Research Center / Fairview Ave N & Ward St,1h 58m 33s,24-Hour Pass
86946,6/8/2015,6/8/2015 14:58,Dexter Ave N & Aloha St,6/8/2015 15:30,UW Magnuson Health Sciences Center Rotunda / Columbia Rd & San Juan Rd,31m 31s,24-Hour Pass
86947,6/8/2015,6/8/2015 15:00,Fred Hutchinson Cancer Research Center / Fairview Ave N & Ward St,6/8/2015 16:55,Fred Hutchinson Cancer Research Center / Fairview Ave N & Ward St,1h 54m 56s,24-Hour Pass
86948,6/8/2015,6/8/2015 15:01,PATH / 9th Ave & Westlake Ave,6/8/2015 15:42,15th Ave NE & NE 40th St,41m 43s,"The ""Pedal"" Membership"
86949,6/8/2015,6/8/2015 15:10,3rd Ave & Broad St,6/8/2015 15:27,7th Ave & Union St,16m 34s,24-Hour Pass
86950,6/8/2015,6/8/2015 15:10,3rd Ave & Broad St,6/8/2015 15:27,7th Ave & Union St,16m 29s,24-Hour Pass
86951,6/8/2015,6/8/2015 15:12,Lake Union Park / Valley St & Boren Ave N,6/8/2015 16:26,Burke-Gilman Trail / NE Blakeley St & 24th Ave NE,1h 13m 42s,24-Hour Pass
86952,6/8/2015,6/8/2015 15:13,Lake Union Park / Valley St & Boren Ave N,6/8/2015 16:26,Burke-Gilman Trail / NE Blakeley St & 24th Ave NE,1h 12m 20s,24-Hour Pass
86953,6/8/2015,6/8/2015 15:18,2nd Ave & Blanchard St,6/8/2015 15:40,15th Ave NE & NE 40th St,22m 34s,"The ""Pedal"" Membership"
86954,6/8/2015,6/8/2015 15:19,Cal Anderson Park / 11th Ave & Pine St,6/8/2015 15:32,12th Ave & E Mercer St,13m 20s,3-Day Pass
86955,6/8/2015,6/8/2015 15:19,2nd Ave & Vine St,6/8/2015 15:25,2nd Ave & Pike St,5m 14s,"The ""Pedal"" Membership"
