Number,Creation date,Start date,Start station,End date,End station,Total duration,Subscription type
86641,6/8/2015,6/8/2015 7:34,2nd Ave & Pike St,6/8/2015 7:46,Pier 69 / Alaskan Way & Clay St,11m 36s,"The ""Pedal"" Membership"
86642,6/8/2015,6/8/2015 7:37,15th Ave E & E Thomas St,6/8/2015 7:45,7th Ave & Union St,7m 40s,"The ""Pedal"" Membership"
86643,6/8/2015,6/8/2015 7:37,Summit Ave & E Denny Way,6/8/2015 7:46,PATH / 9th Ave & Westlake Ave,8m 35s,"The ""Pedal"" Membership"
86644,6/8/2015,6/8/2015 7:38,E Blaine St & Fairview Ave E,6/8/2015 7:46,9th Ave N & Mercer St,8m 0s,"The ""Pedal"" Membership"
86645,6/8/2015,6/8/2015 7:39,12th Ave & E Denny Way,6/8/2015 8:06,UW Magnuson Health Sciences Center Rotunda / Columbia Rd & San Juan Rd,26m 53s,"The ""Pedal"" Membership"
86646,6/8/2015,6/8/2015 7:41,12th Ave & E Mercer St,6/8/2015 7:53,Occidental Park / Occidental Ave S & S Washington St,11m 56s,"The ""Pedal"" Membership"
86647,6/8/2015,6/8/2015 7:44,E Pine St & 16th Ave,6/8/2015 8:00,3rd Ave & Broad St,16m 7s,"The ""Pedal"" Membership"
86648,6/8/2015,6/8/2015 7:48,Key Arena / 1st Ave N & Harrison St,6/8/2015 8:03,E Blaine St & Fairview Ave E,14m 21s,"The ""Pedal"" Membership"
86649,6/8/2015,6/8/2015 7:49,Key Arena / 1st Ave N & Harrison St,6/8/2015 8:03,7th Ave & Union St,14m 20s,3-Day Pass
86651,6/8/2015,6/8/2015 7:51,Key Arena / 1st Ave N & Harrison St,6/8/2015 8:04,Occidental Park / Occidental Ave S & S Washington St,13m 4s,"The ""Pedal"" Membership"
86652,6/8/2015,6/8/2015 7:51,Seattle University / E Columbia St & 12th Ave,6/8/2015 8:02,Occidental Park / Occidental Ave S & S Washington St,10m 35s,"The ""Pedal"" Membership"
86653,6/8/2015,6/8/2015 7:53,1st Ave & Marion St,6/8/2015 7:55,Occidental Park / Occidental Ave S & S Washington St,2m 55s,"The ""Pedal"" Membership"
86654,6/8/2015,6/8/2015 7:53,1st Ave & Marion St,6/8/2015 8:05,Pier 69 / Alaskan Way & Clay St,12m 12s,"The ""Pedal"" Membership"
86655,6/8/2015,6/8/2015 7:53,Pine St & 9th Ave,6/8/2015 7:58,6th Ave & Blanchard St,5m 25s,"The ""Pedal"" Membership"
86656,6/8/2015,6/8/2015 7:54,Lake Union Park / Valley St & Boren Ave N,6/8/2015 8:29,Lake Union Park / Valley St & Boren Ave N,35m 37s,"The ""Pedal"" Membership"
86657,6/8/2015,6/8/2015 7:55,Key Arena / 1st Ave N & Harrison St,6/8/2015 8:03,2nd Ave & Blanchard St,8m 26s,"The ""Pedal"" Membership"
86658,6/8/2015,6/8/2015 7:56,E Harrison St & Broadway Ave E,6/8/2015 7:58,Summit Ave & E Denny Way,2m 35s,"The ""Pedal"" Membership"
86659,6/8/2015,6/8/2015 7:57,12th Ave & E Mercer St,6/8/2015 8:11,Dexter Ave & Denny Way,13m 47s,"The ""Pedal"" Membership"
86660,6/8/2015,6/8/2015 8:00,12th Ave & E Denny Way,6/8/2015 8:12,2nd Ave & Vine St,12m 20s,"The ""Pedal"" Membership"
86661,6/8/2015,6/8/2015 8:01,REI / Yale Ave N & John St,6/8/2015 8:17,City Hall / 4th Ave & James St,15m 40s,"The ""Pedal"" Membership"
86662,6/8/2015,6/8/2015 8:02,2nd Ave & Pike St,6/8/2015 8:15,Dexter Ave N & Aloha St,12m 56s,24-Hour Pass
86663,6/8/2015,6/8/2015 8:03,15th Ave E & E Thomas St,6/8/2015 8:09,REI / Yale Ave N & John St,5m 47s,"The ""Pedal"" Membership"
86664,6/8/2015,6/8/2015 8:05,Dexter Ave N & Aloha St,6/8/2015 8:17,E Blaine St & Fairview Ave E,11m 58s,"The ""Pedal"" Membership"
86665,6/8/2015,6/8/2015 8:05,Bellevue Ave & E Pine St,6/8/2015 8:10,2nd Ave & Spring St,5m 9s,"The ""Pedal"" Membership"
86666,6/8/2015,6/8/2015 8:05,Summit Ave E & E Republican St,6/8/2015 8:12,E Blaine St & Fairview Ave E,6m 27s,"The ""Pedal"" Membership"
86667,6/8/2015,6/8/2015 8:08,Key Arena / 1st Ave N & Harrison St,6/8/2015 8:22,Fred Hutchinson Cancer Research Center / Fairview Ave N & Ward St,13m 31s,"The ""Pedal"" Membership"
86668,6/8/2015,6/8/2015 8:09,Burke-Gilman Trail / NE Blakeley St & 24th Ave NE,6/8/2015 8:19,15th Ave NE & NE 40th St,10m 36s,"The ""Pedal"" Membership"
86669,6/8/2015,6/8/2015 8:11,Summit Ave E & E Republican St,6/8/2015 8:14,Bellevue Ave & E Pine St,3m 47s,"The ""Gear"" Membership"
86670,6/8/2015,6/8/2015 8:11,Pine St & 9th Ave,6/8/2015 8:15,2nd Ave & Spring St,4m 36s,"The ""Pedal"" Membership"
86671,6/8/2015,6/8/2015 8:11,Summit Ave E & E Republican St,6/8/2015 8:18,Cal Anderson Park / 11th Ave & Pine St,7m 15s,3-Day Pass
86672,6/8/2015,6/8/2015 8:14,12th Ave & E Denny Way,6/8/2015 8:29,7th Ave & Union St,14m 43s,3-Day Pass
86673,6/8/2015,6/8/2015 8:14,Pine St & 9th Ave,6/8/2015 8:18,PATH / 9th Ave & Westlake Ave,4m 5s,"The ""Pedal"" Membership"
86674,6/8/2015,6/8/2015 8:17,Dexter Ave N & Aloha St,6/8/2015 8:36,15th Ave NE & NE 40th St,19m 21s,"The ""Pedal"" Membership"
86675,6/8/2015,6/8/2015 8:17,15th Ave E & E Thomas St,6/8/2015 8:33,12th Ave & NE Campus Pkwy,16m 17s,"The ""Pedal"" Membership"
86676,6/8/2015,6/8/2015 8:18,15th Ave E & E Thomas St,6/8/2015 8:26,Pine St & 9th Ave,7m 40s,"The ""Pedal"" Membership"
86677,6/8/2015,6/8/2015 8:20,Seattle University / E Columbia St & 12th Ave,6/8/2015 8:29,King Street Station Plaza / 2nd Ave Extension S & S Jackson St,8m 41s,"The ""Pedal"" Membership"
86678,6/8/2015,6/8/2015 8:23,3rd Ave & Broad St,6/8/2015 8:26,PATH / 9th Ave & Westlake Ave,3m 35s,"The ""Pedal"" Membership"
86679,6/8/2015,6/8/2015 8:23,City Hall / 4th Ave & James St,6/8/2015 8:43,City Hall / 4th Ave & James St,19m 34s,"The ""Pedal"" Membership"
86680,6/8/2015,6/8/2015 8:23,9th Ave N & Mercer St,6/8/2015 8:31,Fred Hutchinson Cancer Research Center / Fairview Ave N & Ward St,7m 41s,"The ""Pedal"" Membership"
86681,6/8/2015,6/8/2015 8:25,3rd Ave & Broad St,6/8/2015 8:32,Westlake Ave & 6th Ave,7m 43s,"The ""Pedal"" Membership"
86682,6/8/2015,6/8/2015 8:26,Summit Ave E & E Republican St,6/8/2015 8:34,Pine St & 9th Ave,7m 43s,"The ""Pedal"" Membership"
86683,6/8/2015,6/8/2015 8:26,REI / Yale Ave N & John St,6/8/2015 8:38,Dexter Ave N & Aloha St,11m 16s,"The ""Pedal"" Membership"
